serial,pos,model,local,negocio,responsable,int_amex,app,tms,foto_dispositivo
NCCA05139527,TB02 N950-39527,N950,ToroBar,TORO ALIMENTOS,Patricia Vázquez,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139527,
NCCA05139471,TB03 N950-39571,N950,ToroBar,TORO ALIMENTOS,Patricia Vázquez,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139471,
NCCA05139472,SU02 N950-39472,N950,Supervisoras,TORO ALIMENTOS,Patricia Vázquez,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139472,
NCCA05139586,PA02 N950-39586,N950,Patio,TORO ALIMENTOS,Patricia Vázquez,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139586,
NCCA05139588,TB01 N950-39588,N950,ToroBar,TORO ALIMENTOS,Patricia Vázquez,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139588,
NCCA05139528,PA01 N950-39528,N950,Patio,TORO ALIMENTOS,Patricia Vázquez,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139528,
NCCA05139533,BA03 N950-39533,N950,Barras,TORO ALIMENTOS,Patricia Vázquez,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139533,
NCCA05139532,BA02 N950-39532,N950,Barras,TORO ALIMENTOS,Patricia Vázquez,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139532,
NCCA05139524,SU01 N950-39524,N950,Supervisoras,TORO ALIMENTOS,Patricia Vázquez,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139524,
NCCA05139521,PA03 N950-39521,N950,Patio,TORO ALIMENTOS,Patricia Vázquez,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139521,
NCCA05139646,BA04 N950-39646,N950,Barras,TORO ALIMENTOS,Patricia Vázquez,false,Por actualizar,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139646,
NCCA05139546,BA07 N950-39546,N950,Barras,TORO ALIMENTOS,Patricia Vázquez,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139546,
NCCA05139531,BA01 N950-39531,N950,Barras,TORO ALIMENTOS,Patricia Vázquez,false,Por actualizar,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139531,
NCCA05139543,BA05 N950-39543,N950,Barras,TORO ALIMENTOS,Patricia Vázquez,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139543,
NCCA05139534,L04-N950-39534,N950,Local 04,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139534,
NCCA05139535,L04 N950-39535,N950,Local 04,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139535,
NCCA05139537,L04 N950-39537 OK,N950,Local 04,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139537,
NCCA05139538,L04 N950-39538,N950,Local 04,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139538,
NCCA05139643,L04 N950-39643,N950,Local 04,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139643,
NCCA05139545,L04 N950-39545,N950,Local 04,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139545,
NCCA05139645,L04 N950-39645,N950,Local 04,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139645,
NCCA05139530,L04 N950-39530,N950,Local 04,TORO ALIMENTOS,Valeria Valentín,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139530,
NCCA05139523,L04 N950-39523,N950,Local 04,TORO ALIMENTOS,Valeria Valentín,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139523,
NCCA05139536,SUP01 N950-39536,N950,Supervisoras,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139536,
NCCA05139540,SUPERVISORAS  N950 39540,N950,Supervisoras,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139540,
NCC403183596,SUPERVISORAS  N950 83596,N950,Supervisoras,TORO ALIMENTOS,Valeria Valentín,false,Por actualizar,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCC403183596,
NCCA05139541,SUP03 N950-39541,N950,Supervisoras,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139541,
NCCA05139647,LOCAL 12  N950 39647,N950,Local 12,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139647,
NCCA05139642,LOCAL 12  N950 39642,N950,Local 12,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139642,
NCCA05139641,LOCAL 12  N950 39641,N950,Local 12,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139641,
NCCA05139648,LOCAL 12  N950 39648,N950,Local 12,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139648,
NCCA05139539,LOCAL 12  N950 39539,N950,Local 12,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139539,
NCCA05139549,LOCAL 12  N950 39549,N950,Local 12,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139549,
NCCA05139644,LOCAL 12  N950 39644,N950,Local 12,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139644,
NCCA05139542,SR NARCIZO  N950 39542,N950,Sr. Narcizo,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139542,
NCCA05139544,LOCAL 18  N950 39544,N950,Local 18,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139544,
NCCA05139650,LOCAL 18  N950 39650,N950,Local 18,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139650,
NCCA05139548,LOCAL 18  N950 39548,N950,Local 18,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139548,
NCCA05139529,LOCAL 18  N950 39529,N950,Local 18,TORO ALIMENTOS,Valeria Valentín,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139529,
NCCA05139589,LOCAL 03  N950 39589,N950,Local 03,TORO ALIMENTOS,Valeria Valentín,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139589,
NCCA05139526,LOCAL 03  N950 39526,N950,Local 03,TORO ALIMENTOS,Valeria Valentín,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139526,
NCCA05139522,LOCAL 03  N950 39522,N950,Local 03,TORO ALIMENTOS,Valeria Valentín,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139522,
NCCA05139547,LOCAL 12  N950 39547,N950,Local 12,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139547,
NCCA05139550,LOCAL 12  N950 39550,N950,Local 12,TORO ALIMENTOS,Valeria Valentín,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139550,
NCCA05139587,LOCAL 12  N950 39587,N950,Local 12,TORO ALIMENTOS,Valeria Valentín,true,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NCCA05139587,
NDB400005255,BA08 N750-05255,N750,Barras,TORO ALIMENTOS,,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NDB400005255,
NDB400005257,BA09 N750-05257,N750,Barras,TORO ALIMENTOS,,false,1.0.40,https://toms.newlandnpt.com/operator-next/#/TMS/terminal/NDB400005257,
